code,O,Omega,Theta
"def merge_sort_27(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_28(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_29(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_30(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
wtr_list = [i for i in range(n)]
heapq.heapify(wtr_list)
while wtr_list:
    heapq.heappop(wtr_list)",O(n log n),O(n),O(n log n)
"import heapq
xwy_list = [i for i in range(n)]
heapq.heapify(xwy_list)
while xwy_list:
    heapq.heappop(xwy_list)",O(n log n),O(n),O(n log n)
"import heapq
aei_list = [i for i in range(n)]
heapq.heapify(aei_list)
while aei_list:
    heapq.heappop(aei_list)",O(n log n),O(n),O(n log n)
"import heapq
ugh_list = [i for i in range(n)]
heapq.heapify(ugh_list)
while ugh_list:
    heapq.heappop(ugh_list)",O(n log n),O(n),O(n log n)
"import heapq
ohj_list = [i for i in range(n)]
heapq.heapify(ohj_list)
while ohj_list:
    heapq.heappop(ohj_list)",O(n log n),O(n),O(n log n)
"import heapq
igw_list = [i for i in range(n)]
heapq.heapify(igw_list)
while igw_list:
    heapq.heappop(igw_list)",O(n log n),O(n),O(n log n)
"def merge_sort_37(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_38(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_39(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
mdl_list = [i for i in range(n)]
heapq.heapify(mdl_list)
while mdl_list:
    heapq.heappop(mdl_list)",O(n log n),O(n),O(n log n)
"import heapq
fiv_list = [i for i in range(n)]
heapq.heapify(fiv_list)
while fiv_list:
    heapq.heappop(fiv_list)",O(n log n),O(n),O(n log n)
"def merge_sort_42(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
egb_list = [i for i in range(n)]
heapq.heapify(egb_list)
while egb_list:
    heapq.heappop(egb_list)",O(n log n),O(n),O(n log n)
"import heapq
aml_list = [i for i in range(n)]
heapq.heapify(aml_list)
while aml_list:
    heapq.heappop(aml_list)",O(n log n),O(n),O(n log n)
"def merge_sort_45(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
hko_list = [i for i in range(n)]
heapq.heapify(hko_list)
while hko_list:
    heapq.heappop(hko_list)",O(n log n),O(n),O(n log n)
"def merge_sort_47(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
juq_list = [i for i in range(n)]
heapq.heapify(juq_list)
while juq_list:
    heapq.heappop(juq_list)",O(n log n),O(n),O(n log n)
"import heapq
szf_list = [i for i in range(n)]
heapq.heapify(szf_list)
while szf_list:
    heapq.heappop(szf_list)",O(n log n),O(n),O(n log n)
"def merge_sort_50(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
bqv_list = [i for i in range(n)]
heapq.heapify(bqv_list)
while bqv_list:
    heapq.heappop(bqv_list)",O(n log n),O(n),O(n log n)
"def merge_sort_52(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
nwc_list = [i for i in range(n)]
heapq.heapify(nwc_list)
while nwc_list:
    heapq.heappop(nwc_list)",O(n log n),O(n),O(n log n)
"def merge_sort_54(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
viz_list = [i for i in range(n)]
heapq.heapify(viz_list)
while viz_list:
    heapq.heappop(viz_list)",O(n log n),O(n),O(n log n)
"def merge_sort_56(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_57(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
fhg_list = [i for i in range(n)]
heapq.heapify(fhg_list)
while fhg_list:
    heapq.heappop(fhg_list)",O(n log n),O(n),O(n log n)
"import heapq
rce_list = [i for i in range(n)]
heapq.heapify(rce_list)
while rce_list:
    heapq.heappop(rce_list)",O(n log n),O(n),O(n log n)
"import heapq
cxd_list = [i for i in range(n)]
heapq.heapify(cxd_list)
while cxd_list:
    heapq.heappop(cxd_list)",O(n log n),O(n),O(n log n)
"import heapq
vrg_list = [i for i in range(n)]
heapq.heapify(vrg_list)
while vrg_list:
    heapq.heappop(vrg_list)",O(n log n),O(n),O(n log n)
"def merge_sort_62(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
ghm_list = [i for i in range(n)]
heapq.heapify(ghm_list)
while ghm_list:
    heapq.heappop(ghm_list)",O(n log n),O(n),O(n log n)
"import heapq
cfp_list = [i for i in range(n)]
heapq.heapify(cfp_list)
while cfp_list:
    heapq.heappop(cfp_list)",O(n log n),O(n),O(n log n)
"def merge_sort_65(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_66(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
gsk_list = [i for i in range(n)]
heapq.heapify(gsk_list)
while gsk_list:
    heapq.heappop(gsk_list)",O(n log n),O(n),O(n log n)
"def merge_sort_68(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_69(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_70(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
yxy_list = [i for i in range(n)]
heapq.heapify(yxy_list)
while yxy_list:
    heapq.heappop(yxy_list)",O(n log n),O(n),O(n log n)
"import heapq
cec_list = [i for i in range(n)]
heapq.heapify(cec_list)
while cec_list:
    heapq.heappop(cec_list)",O(n log n),O(n),O(n log n)
"def merge_sort_73(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_74(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_75(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_76(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_77(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_78(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_79(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
gvy_list = [i for i in range(n)]
heapq.heapify(gvy_list)
while gvy_list:
    heapq.heappop(gvy_list)",O(n log n),O(n),O(n log n)
"def merge_sort_81(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
ejn_list = [i for i in range(n)]
heapq.heapify(ejn_list)
while ejn_list:
    heapq.heappop(ejn_list)",O(n log n),O(n),O(n log n)
"def merge_sort_83(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
khe_list = [i for i in range(n)]
heapq.heapify(khe_list)
while khe_list:
    heapq.heappop(khe_list)",O(n log n),O(n),O(n log n)
"import heapq
bpi_list = [i for i in range(n)]
heapq.heapify(bpi_list)
while bpi_list:
    heapq.heappop(bpi_list)",O(n log n),O(n),O(n log n)
"import heapq
jma_list = [i for i in range(n)]
heapq.heapify(jma_list)
while jma_list:
    heapq.heappop(jma_list)",O(n log n),O(n),O(n log n)
"import heapq
egc_list = [i for i in range(n)]
heapq.heapify(egc_list)
while egc_list:
    heapq.heappop(egc_list)",O(n log n),O(n),O(n log n)
"def merge_sort_88(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_89(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_90(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
lrk_list = [i for i in range(n)]
heapq.heapify(lrk_list)
while lrk_list:
    heapq.heappop(lrk_list)",O(n log n),O(n),O(n log n)
"import heapq
kuq_list = [i for i in range(n)]
heapq.heapify(kuq_list)
while kuq_list:
    heapq.heappop(kuq_list)",O(n log n),O(n),O(n log n)
"def merge_sort_93(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_94(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
ceg_list = [i for i in range(n)]
heapq.heapify(ceg_list)
while ceg_list:
    heapq.heappop(ceg_list)",O(n log n),O(n),O(n log n)
"import heapq
unl_list = [i for i in range(n)]
heapq.heapify(unl_list)
while unl_list:
    heapq.heappop(unl_list)",O(n log n),O(n),O(n log n)
"def merge_sort_97(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_98(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
eqj_list = [i for i in range(n)]
heapq.heapify(eqj_list)
while eqj_list:
    heapq.heappop(eqj_list)",O(n log n),O(n),O(n log n)
"for kp in range(n):
    for mi in range(n):
        print(kp + mi)",O(n^2),O(n^2),O(n^2)
"for bw in range(n):
    for be in range(n):
        print(bw + be)",O(n^2),O(n^2),O(n^2)
"for kr in range(n):
    for av in range(n):
        print(kr + av)",O(n^2),O(n^2),O(n^2)
"for ax in range(n):
    for om in range(n):
        print(ax + om)",O(n^2),O(n^2),O(n^2)
"for jl in range(n):
    for vw in range(n):
        print(jl + vw)",O(n^2),O(n^2),O(n^2)
"for fg in range(n):
    for qp in range(n):
        print(fg + qp)",O(n^2),O(n^2),O(n^2)
"for ep in range(n):
    for ir in range(n):
        print(ep + ir)",O(n^2),O(n^2),O(n^2)
"for il in range(n):
    for oe in range(n):
        print(il + oe)",O(n^2),O(n^2),O(n^2)
"for lc in range(n):
    for ce in range(n):
        print(lc + ce)",O(n^2),O(n^2),O(n^2)
"for lj in range(n):
    for eg in range(n):
        print(lj + eg)",O(n^2),O(n^2),O(n^2)
"for fh in range(n):
    for ji in range(n):
        print(fh + ji)",O(n^2),O(n^2),O(n^2)
"for rj in range(n):
    for vg in range(n):
        print(rj + vg)",O(n^2),O(n^2),O(n^2)
"for xk in range(n):
    for jf in range(n):
        print(xk + jf)",O(n^2),O(n^2),O(n^2)
"for uw in range(n):
    for rr in range(n):
        print(uw + rr)",O(n^2),O(n^2),O(n^2)
"for ng in range(n):
    for mj in range(n):
        print(ng + mj)",O(n^2),O(n^2),O(n^2)
"for vu in range(n):
    for og in range(n):
        print(vu + og)",O(n^2),O(n^2),O(n^2)
"for lk in range(n):
    for ul in range(n):
        print(lk + ul)",O(n^2),O(n^2),O(n^2)
"for ol in range(n):
    for my in range(n):
        print(ol + my)",O(n^2),O(n^2),O(n^2)
"for xx in range(n):
    for kd in range(n):
        print(xx + kd)",O(n^2),O(n^2),O(n^2)
"for af in range(n):
    for tj in range(n):
        print(af + tj)",O(n^2),O(n^2),O(n^2)
"for mq in range(n):
    for xi in range(n):
        print(mq + xi)",O(n^2),O(n^2),O(n^2)
"for yi in range(n):
    for lh in range(n):
        print(yi + lh)",O(n^2),O(n^2),O(n^2)
"for vi in range(n):
    for yo in range(n):
        print(vi + yo)",O(n^2),O(n^2),O(n^2)
"for xx in range(n):
    for uy in range(n):
        print(xx + uy)",O(n^2),O(n^2),O(n^2)
"for co in range(n):
    for rx in range(n):
        print(co + rx)",O(n^2),O(n^2),O(n^2)
"for hr in range(n):
    for ob in range(n):
        print(hr + ob)",O(n^2),O(n^2),O(n^2)
"for ts in range(n):
    for se in range(n):
        print(ts + se)",O(n^2),O(n^2),O(n^2)
"for vf in range(n):
    for pf in range(n):
        print(vf + pf)",O(n^2),O(n^2),O(n^2)
"for ix in range(n):
    for we in range(n):
        print(ix + we)",O(n^2),O(n^2),O(n^2)
"for lf in range(n):
    for ql in range(n):
        print(lf + ql)",O(n^2),O(n^2),O(n^2)
"for dx in range(n):
    for to in range(n):
        print(dx + to)",O(n^2),O(n^2),O(n^2)
"for fs in range(n):
    for yt in range(n):
        print(fs + yt)",O(n^2),O(n^2),O(n^2)
"for gf in range(n):
    for bj in range(n):
        print(gf + bj)",O(n^2),O(n^2),O(n^2)
"for dv in range(n):
    for es in range(n):
        print(dv + es)",O(n^2),O(n^2),O(n^2)
"for lt in range(n):
    for xz in range(n):
        print(lt + xz)",O(n^2),O(n^2),O(n^2)
"for ys in range(n):
    for it in range(n):
        print(ys + it)",O(n^2),O(n^2),O(n^2)
"for eh in range(n):
    for ia in range(n):
        print(eh + ia)",O(n^2),O(n^2),O(n^2)
"for vm in range(n):
    for gd in range(n):
        print(vm + gd)",O(n^2),O(n^2),O(n^2)
"for bj in range(n):
    for si in range(n):
        print(bj + si)",O(n^2),O(n^2),O(n^2)
"for qf in range(n):
    for ws in range(n):
        print(qf + ws)",O(n^2),O(n^2),O(n^2)
"for sc in range(n):
    for qn in range(n):
        print(sc + qn)",O(n^2),O(n^2),O(n^2)
"for hp in range(n):
    for le in range(n):
        print(hp + le)",O(n^2),O(n^2),O(n^2)
"for df in range(n):
    for wv in range(n):
        print(df + wv)",O(n^2),O(n^2),O(n^2)
"for hg in range(n):
    for xs in range(n):
        print(hg + xs)",O(n^2),O(n^2),O(n^2)
"for kf in range(n):
    for ki in range(n):
        print(kf + ki)",O(n^2),O(n^2),O(n^2)
"for lc in range(n):
    for xz in range(n):
        print(lc + xz)",O(n^2),O(n^2),O(n^2)
"for nn in range(n):
    for hm in range(n):
        print(nn + hm)",O(n^2),O(n^2),O(n^2)
"for bg in range(n):
    for ed in range(n):
        print(bg + ed)",O(n^2),O(n^2),O(n^2)
"for cs in range(n):
    for hl in range(n):
        print(cs + hl)",O(n^2),O(n^2),O(n^2)
"for en in range(n):
    for yo in range(n):
        print(en + yo)",O(n^2),O(n^2),O(n^2)
"for tn in range(n):
    for nf in range(n):
        print(tn + nf)",O(n^2),O(n^2),O(n^2)
"for kn in range(n):
    for lq in range(n):
        print(kn + lq)",O(n^2),O(n^2),O(n^2)
"for mq in range(n):
    for mp in range(n):
        print(mq + mp)",O(n^2),O(n^2),O(n^2)
"for lj in range(n):
    for il in range(n):
        print(lj + il)",O(n^2),O(n^2),O(n^2)
"for ws in range(n):
    for jt in range(n):
        print(ws + jt)",O(n^2),O(n^2),O(n^2)
"for tc in range(n):
    for rx in range(n):
        print(tc + rx)",O(n^2),O(n^2),O(n^2)
"for sg in range(n):
    for lc in range(n):
        print(sg + lc)",O(n^2),O(n^2),O(n^2)
"for to in range(n):
    for iw in range(n):
        print(to + iw)",O(n^2),O(n^2),O(n^2)
"for kp in range(n):
    for zh in range(n):
        print(kp + zh)",O(n^2),O(n^2),O(n^2)
"for ot in range(n):
    for fp in range(n):
        print(ot + fp)",O(n^2),O(n^2),O(n^2)
"for uh in range(n):
    for da in range(n):
        print(uh + da)",O(n^2),O(n^2),O(n^2)
"for ja in range(n):
    for qh in range(n):
        print(ja + qh)",O(n^2),O(n^2),O(n^2)
"for mi in range(n):
    for ru in range(n):
        print(mi + ru)",O(n^2),O(n^2),O(n^2)
"for wz in range(n):
    for ao in range(n):
        print(wz + ao)",O(n^2),O(n^2),O(n^2)
"for rc in range(n):
    for ss in range(n):
        print(rc + ss)",O(n^2),O(n^2),O(n^2)
"for bd in range(n):
    for ri in range(n):
        print(bd + ri)",O(n^2),O(n^2),O(n^2)
"for nw in range(n):
    for kf in range(n):
        print(nw + kf)",O(n^2),O(n^2),O(n^2)
"for af in range(n):
    for ty in range(n):
        print(af + ty)",O(n^2),O(n^2),O(n^2)
"for kk in range(n):
    for pq in range(n):
        print(kk + pq)",O(n^2),O(n^2),O(n^2)
"for jx in range(n):
    for nx in range(n):
        print(jx + nx)",O(n^2),O(n^2),O(n^2)
"for ry in range(n):
    for og in range(n):
        print(ry + og)",O(n^2),O(n^2),O(n^2)
"for kg in range(n):
    for pv in range(n):
        print(kg + pv)",O(n^2),O(n^2),O(n^2)
"for pr in range(n):
    for oh in range(n):
        print(pr + oh)",O(n^2),O(n^2),O(n^2)
"for ww in range(n):
    for rw in range(n):
        print(ww + rw)",O(n^2),O(n^2),O(n^2)
"for ap in range(n):
    for tx in range(n):
        print(ap + tx)",O(n^2),O(n^2),O(n^2)
"for om in range(n):
    for mp in range(n):
        print(om + mp)",O(n^2),O(n^2),O(n^2)
"for rn in range(n):
    for sa in range(n):
        print(rn + sa)",O(n^2),O(n^2),O(n^2)
"for qd in range(n):
    for yq in range(n):
        print(qd + yq)",O(n^2),O(n^2),O(n^2)
"for sv in range(n):
    for fo in range(n):
        print(sv + fo)",O(n^2),O(n^2),O(n^2)
"for bx in range(n):
    for zj in range(n):
        print(bx + zj)",O(n^2),O(n^2),O(n^2)
"for ro in range(n):
    for ri in range(n):
        print(ro + ri)",O(n^2),O(n^2),O(n^2)
"for bk in range(n):
    for fk in range(n):
        print(bk + fk)",O(n^2),O(n^2),O(n^2)
"for sb in range(n):
    for gm in range(n):
        print(sb + gm)",O(n^2),O(n^2),O(n^2)
